Frame,Time
515,2021-02-24_14:02:26.987922
516,2021-02-24_14:02:27.028234
517,2021-02-24_14:02:27.086439
518,2021-02-24_14:02:27.128095
519,2021-02-24_14:02:27.197272
520,2021-02-24_14:02:27.271637
521,2021-02-24_14:02:27.321862
522,2021-02-24_14:02:27.388671
523,2021-02-24_14:02:27.441659
524,2021-02-24_14:02:27.500446
525,2021-02-24_14:02:27.553023
526,2021-02-24_14:02:27.594755
527,2021-02-24_14:02:27.650128
528,2021-02-24_14:02:27.697048
529,2021-02-24_14:02:27.744973
530,2021-02-24_14:02:27.803429
531,2021-02-24_14:02:27.850546
532,2021-02-24_14:02:27.915179
533,2021-02-24_14:02:27.961174
534,2021-02-24_14:02:28.024036
535,2021-02-24_14:02:28.072722
536,2021-02-24_14:02:28.118440
537,2021-02-24_14:02:28.195975
538,2021-02-24_14:02:28.239306
539,2021-02-24_14:02:28.298545
540,2021-02-24_14:02:28.345724
541,2021-02-24_14:02:28.393288
542,2021-02-24_14:02:28.450208
543,2021-02-24_14:02:28.489739
544,2021-02-24_14:02:28.537084
545,2021-02-24_14:02:28.597429
546,2021-02-24_14:02:28.646722
547,2021-02-24_14:02:28.709723
548,2021-02-24_14:02:28.750510
549,2021-02-24_14:02:28.801901
550,2021-02-24_14:02:28.852277
551,2021-02-24_14:02:28.892643
552,2021-02-24_14:02:28.934662
553,2021-02-24_14:02:28.990779
554,2021-02-24_14:02:29.042901
555,2021-02-24_14:02:29.107351
556,2021-02-24_14:02:29.157745
557,2021-02-24_14:02:29.225714
558,2021-02-24_14:02:29.276732
559,2021-02-24_14:02:29.333310
560,2021-02-24_14:02:29.388152
561,2021-02-24_14:02:29.436654
562,2021-02-24_14:02:29.494342
563,2021-02-24_14:02:29.543533
564,2021-02-24_14:02:29.596569
565,2021-02-24_14:02:29.642718
566,2021-02-24_14:02:29.696290
567,2021-02-24_14:02:29.751953
568,2021-02-24_14:02:29.800634
569,2021-02-24_14:02:29.866851
570,2021-02-24_14:02:29.938876
571,2021-02-24_14:02:29.984470
572,2021-02-24_14:02:30.064351
573,2021-02-24_14:02:30.115517
574,2021-02-24_14:02:30.168540
575,2021-02-24_14:02:30.232369
576,2021-02-24_14:02:30.271345
577,2021-02-24_14:02:30.339333
578,2021-02-24_14:02:30.382563
579,2021-02-24_14:02:30.437197
580,2021-02-24_14:02:30.494531
581,2021-02-24_14:02:30.543941
582,2021-02-24_14:02:30.610053
583,2021-02-24_14:02:30.665905
584,2021-02-24_14:02:30.732127
585,2021-02-24_14:02:30.781872
586,2021-02-24_14:02:30.858387
587,2021-02-24_14:02:30.905315
588,2021-02-24_14:02:30.943116
589,2021-02-24_14:02:31.007703
590,2021-02-24_14:02:31.049946
591,2021-02-24_14:02:31.119409
592,2021-02-24_14:02:31.168891
593,2021-02-24_14:02:31.230332
594,2021-02-24_14:02:31.281944
595,2021-02-24_14:02:31.321842
596,2021-02-24_14:02:31.370706
597,2021-02-24_14:02:31.427295
598,2021-02-24_14:02:31.475904
599,2021-02-24_14:02:31.536042
600,2021-02-24_14:02:31.585278
601,2021-02-24_14:02:31.641658
602,2021-02-24_14:02:31.694989
603,2021-02-24_14:02:31.740962
604,2021-02-24_14:02:31.794785
605,2021-02-24_14:02:31.849068
606,2021-02-24_14:02:31.891751
607,2021-02-24_14:02:31.950472
608,2021-02-24_14:02:31.993623
609,2021-02-24_14:02:32.054994
610,2021-02-24_14:02:32.103994
611,2021-02-24_14:02:32.161673
612,2021-02-24_14:02:32.216440
613,2021-02-24_14:02:32.256522
614,2021-02-24_14:02:32.330344
615,2021-02-24_14:02:32.374952
616,2021-02-24_14:02:32.459997
617,2021-02-24_14:02:32.534677
618,2021-02-24_14:02:32.586188
619,2021-02-24_14:02:32.652446
620,2021-02-24_14:02:32.707995
621,2021-02-24_14:02:32.772167
622,2021-02-24_14:02:32.831104
623,2021-02-24_14:02:32.898335
624,2021-02-24_14:02:32.951338
625,2021-02-24_14:02:32.996274
626,2021-02-24_14:02:33.062976
627,2021-02-24_14:02:33.138272
628,2021-02-24_14:02:33.209478
629,2021-02-24_14:02:33.258403
630,2021-02-24_14:02:33.326808
631,2021-02-24_14:02:33.396607
632,2021-02-24_14:02:33.469093
633,2021-02-24_14:02:33.515296
634,2021-02-24_14:02:33.578340
635,2021-02-24_14:02:33.630518
636,2021-02-24_14:02:33.679525
637,2021-02-24_14:02:33.725301
638,2021-02-24_14:02:33.797634
639,2021-02-24_14:02:33.849602
640,2021-02-24_14:02:33.890159
641,2021-02-24_14:02:33.942492
642,2021-02-24_14:02:34.006038
643,2021-02-24_14:02:34.047279
644,2021-02-24_14:02:34.098955
645,2021-02-24_14:02:34.143859
646,2021-02-24_14:02:34.206543
647,2021-02-24_14:02:34.266526
648,2021-02-24_14:02:34.310083
649,2021-02-24_14:02:34.358517
650,2021-02-24_14:02:34.414304
651,2021-02-24_14:02:34.453679
652,2021-02-24_14:02:34.501514
653,2021-02-24_14:02:34.549805
654,2021-02-24_14:02:34.588900
655,2021-02-24_14:02:34.637273
656,2021-02-24_14:02:34.686442
657,2021-02-24_14:02:34.725829
658,2021-02-24_14:02:34.785431
659,2021-02-24_14:02:34.826923
660,2021-02-24_14:02:34.864469
661,2021-02-24_14:02:34.918607
662,2021-02-24_14:02:34.960320
663,2021-02-24_14:02:35.005938
664,2021-02-24_14:02:35.053976
665,2021-02-24_14:02:35.112614
666,2021-02-24_14:02:35.160062
667,2021-02-24_14:02:35.221651
668,2021-02-24_14:02:35.275864
669,2021-02-24_14:02:35.331304
670,2021-02-24_14:02:35.382391
671,2021-02-24_14:02:35.430913
672,2021-02-24_14:02:35.473429
673,2021-02-24_14:02:35.523766
674,2021-02-24_14:02:35.570503
675,2021-02-24_14:02:35.632657
676,2021-02-24_14:02:35.699772
677,2021-02-24_14:02:35.742207
678,2021-02-24_14:02:35.793112
679,2021-02-24_14:02:35.842538
680,2021-02-24_14:02:35.892514
681,2021-02-24_14:02:35.941929
682,2021-02-24_14:02:36.005949
683,2021-02-24_14:02:36.051237
684,2021-02-24_14:02:36.089531
685,2021-02-24_14:02:36.139844
686,2021-02-24_14:02:36.190912
687,2021-02-24_14:02:36.235564
688,2021-02-24_14:02:36.308224
689,2021-02-24_14:02:36.386472
690,2021-02-24_14:02:36.440425
691,2021-02-24_14:02:36.517471
692,2021-02-24_14:02:36.577290
693,2021-02-24_14:02:36.634806
694,2021-02-24_14:02:36.687216
695,2021-02-24_14:02:36.744231
696,2021-02-24_14:02:36.806453
697,2021-02-24_14:02:36.858191
698,2021-02-24_14:02:36.932858
699,2021-02-24_14:02:36.986893
700,2021-02-24_14:02:37.062291
701,2021-02-24_14:02:37.108333
702,2021-02-24_14:02:37.176672
703,2021-02-24_14:02:37.226662
704,2021-02-24_14:02:37.294046
705,2021-02-24_14:02:37.347489
706,2021-02-24_14:02:37.416040
707,2021-02-24_14:02:37.494841
708,2021-02-24_14:02:37.533843
709,2021-02-24_14:02:37.601094
710,2021-02-24_14:02:37.651899
711,2021-02-24_14:02:37.727993
712,2021-02-24_14:02:37.771198
713,2021-02-24_14:02:37.824889
714,2021-02-24_14:02:37.881810
715,2021-02-24_14:02:37.944148
716,2021-02-24_14:02:37.991657
717,2021-02-24_14:02:38.054569
718,2021-02-24_14:02:38.104085
719,2021-02-24_14:02:38.151499
720,2021-02-24_14:02:38.204425
721,2021-02-24_14:02:38.270423
722,2021-02-24_14:02:38.316140
723,2021-02-24_14:02:38.363863
724,2021-02-24_14:02:38.413570
725,2021-02-24_14:02:38.453028
726,2021-02-24_14:02:38.494869
727,2021-02-24_14:02:38.546994
728,2021-02-24_14:02:38.590603
729,2021-02-24_14:02:38.647839
730,2021-02-24_14:02:38.692998
731,2021-02-24_14:02:38.752445
732,2021-02-24_14:02:38.794975
733,2021-02-24_14:02:38.839770
734,2021-02-24_14:02:38.903421
735,2021-02-24_14:02:38.943019
736,2021-02-24_14:02:38.990312
737,2021-02-24_14:02:39.046620
738,2021-02-24_14:02:39.086887
739,2021-02-24_14:02:39.131433
740,2021-02-24_14:02:39.187817
741,2021-02-24_14:02:39.232116
742,2021-02-24_14:02:39.279832
743,2021-02-24_14:02:39.319003
744,2021-02-24_14:02:39.373992
745,2021-02-24_14:02:39.419239
746,2021-02-24_14:02:39.472686
747,2021-02-24_14:02:39.531074
748,2021-02-24_14:02:39.599865
749,2021-02-24_14:02:39.667954
750,2021-02-24_14:02:39.726554
751,2021-02-24_14:02:39.765199
752,2021-02-24_14:02:39.812506
753,2021-02-24_14:02:39.852564
754,2021-02-24_14:02:39.904750
755,2021-02-24_14:02:39.952477
756,2021-02-24_14:02:39.995769
757,2021-02-24_14:02:40.049023
758,2021-02-24_14:02:40.087814
759,2021-02-24_14:02:40.131494
760,2021-02-24_14:02:40.191945
761,2021-02-24_14:02:40.234474
762,2021-02-24_14:02:40.281942
763,2021-02-24_14:02:40.323560
764,2021-02-24_14:02:40.375732
765,2021-02-24_14:02:40.419700
766,2021-02-24_14:02:40.465633
767,2021-02-24_14:02:40.524945
768,2021-02-24_14:02:40.570266
769,2021-02-24_14:02:40.631201
770,2021-02-24_14:02:40.686123
771,2021-02-24_14:02:40.731996
772,2021-02-24_14:02:40.788586
773,2021-02-24_14:02:40.829003
774,2021-02-24_14:02:40.874587
775,2021-02-24_14:02:40.938718
